umap1,umap2,cell_type
16.50220489501953,11.640063285827637,Retinal Ganglion Cell
14.04663372039795,12.484375,Retinal Ganglion Cell
14.027631759643555,13.983062744140625,Retinal Ganglion Cell
15.799405097961426,12.063708305358887,Retinal Ganglion Cell
17.76983070373535,13.370295524597168,Retinal Ganglion Cell
15.039753913879395,10.615586280822754,Retinal Ganglion Cell
12.802253723144531,11.91864013671875,Retinal Ganglion Cell
16.24022674560547,11.460979461669922,Retinal Ganglion Cell
16.002208709716797,9.449205399,Retinal Ganglion Cell
16.138599395751953,14.045312881469727,Retinal Ganglion Cell
14.798178672790527,10.720232963562012,Retinal Ganglion Cell
14.78577709197998,11.476723670959473,Retinal Ganglion Cell
15.98803424835205,13.505051612854004,Retinal Ganglion Cell
16.995141983032227,10.508380889892578,Retinal Ganglion Cell
15.574222564697266,9.762524604797363,Retinal Ganglion Cell
13.836852073669434,15.725151062011719,Retinal Ganglion Cell
17.59321403503418,11.638765335083008,Retinal Ganglion Cell
11.784242630004883,12.11801528930664,Retinal Ganglion Cell
15.798230171203613,12.013336181640625,Retinal Ganglion Cell
13.19913387298584,13.35421085357666,Retinal Ganglion Cell
17.169565200805664,14.815305709838867,Retinal Ganglion Cell
16.679691314697266,15.22844123840332,Retinal Ganglion Cell
15.984079360961914,11.190116882324219,Retinal Ganglion Cell
14.339365005493164,10.485770225524902,Retinal Ganglion Cell
18.14507484436035,13.992366790771484,Retinal Ganglion Cell
16.255212783813477,10.278270721435547,Retinal Ganglion Cell
12.335699081420898,10.723548889160156,Retinal Ganglion Cell
16.13338851928711,12.22734260559082,Retinal Ganglion Cell
16.039573669433594,14.934112548828125,Retinal Ganglion Cell
16.28870201,14.38951301574707,Retinal Ganglion Cell
12.413525581359863,9.289567947387695,Retinal Ganglion Cell
15.19462776184082,13.548013687133789,Retinal Ganglion Cell
12.247357368469238,12.762765884399414,Retinal Ganglion Cell
14.75213337,9.49998951,Retinal Ganglion Cell
17.668521881103516,14.27871036529541,Retinal Ganglion Cell
19.04902458190918,10.23147964477539,Retinal Ganglion Cell
13.543811798095703,14.118958473205566,Retinal Ganglion Cell
15.922491073608398,14.061880111694336,Retinal Ganglion Cell
16.806795120239258,15.48511791229248,Retinal Ganglion Cell
16.118087768554688,9.798902512,Retinal Ganglion Cell
12.691255569458008,9.347165108,Retinal Ganglion Cell
13.422723770141602,9.660716057,Retinal Ganglion Cell
14.24836540222168,14.096465110778809,Retinal Ganglion Cell
17.64194679260254,15.055766105651855,Retinal Ganglion Cell
12.790640830993652,9.659153938293457,Retinal Ganglion Cell
15.937994956970215,11.539756774902344,Retinal Ganglion Cell
16.937423706054688,14.336337089538574,Retinal Ganglion Cell
16.85965919494629,15.380178451538086,Retinal Ganglion Cell
18.79102135,9.948173522949219,Retinal Ganglion Cell
